"","delta","# med false pos","90th perc false pos","# called","median FDR","90th perc FDR","cutlo","cuthi"
"1",0,4242.21854397531,4418.35039977556,6075,0.698307579255195,0.727300477329311,-0.136416396050824,0.343301237256082
"2",0.00139825327509814,4238.455042783,4415.33959882171,6074,0.697802937567171,0.726924530592972,-0.136416396050824,0.344752765166879
"3",0.00559301310039255,4214.3686351522,4393.5112919063,6054,0.696129606070729,0.725720398398794,-0.136416396050824,0.356029843191786
"4",0.0125842794758832,4174.47552251368,4360.39248141394,6020,0.693434472178352,0.724317687942515,-0.136416396050824,0.374175763600159
"5",0.0223720524015702,4077.377191752,4277.59545518306,5919,0.688862509165737,0.722688875685598,-0.136416396050824,0.419179439777291
"6",0.0349563318774535,3963.71945574414,4180.49712442138,5802,0.683164332255109,0.720526908724815,-0.136416396050824,0.472397226710868
"7",0.050337117903533,3857.21237200168,4088.74296535278,5703,0.676347952306099,0.716945987261579,-0.136416396050824,0.524602778179328
"8",0.0685144104798088,3730.38238182073,3980.27886099032,5577,0.668886925196473,0.713695331000595,-0.136416396050824,0.588492764295044
"9",0.0894882096062808,3600.1652405667,3868.12652545939,5447,0.660944600801671,0.710138888463263,-0.136416396050824,0.658255060762734
"10",0.113258515282949,3425.53878524337,3715.32837705148,5258,0.651490830209846,0.7066048644069,-0.136416396050824,0.758643946084463
"11",0.139825327509814,3271.23523635854,3580.59503436667,5101,0.64129293008401,0.701939822459649,-0.146234405619933,0.841468645589786
"12",0.169188646286875,2862.51900687333,3217.79351942769,4692,0.610085039828076,0.685804245402321,-0.279799715419947,0.905952039874259
"13",0.201348471614132,2498.96479169589,2889.61621545799,4328,0.577394822480566,0.667656242018944,-0.384561526658744,1.00044635840357
"14",0.236304803491585,2008.20423621826,2433.47987094964,3754,0.534950515774711,0.648236513305712,-0.545672493197127,1.12829769650257
"15",0.274057641919235,1665.34927759854,2102.29176602609,3379,0.492852701272134,0.622163884588958,-0.668558487470736,1.23658068513982
"16",0.314606986897081,1371.41983447889,1807.98597278721,3040,0.451124945552266,0.594732227890529,-0.782943347140605,1.34939706314988
"17",0.357952838425123,1089.90994529387,1512.1747790714,2695,0.404419274691603,0.561103814126678,-0.915445556624067,1.45977239251518
"18",0.404095196503362,865.60527423201,1265.28910085566,2423,0.357245263818411,0.522199381285869,-1.04437592785149,1.55135454610013
"19",0.453034061131797,662.376209847103,1026.75839528686,2128,0.311267015905594,0.482499245905478,-1.18311784656907,1.65707959965603
"20",0.504769432310428,505.814560246879,837.002665170431,1889,0.267768427870238,0.443092993737655,-1.30631641873423,1.77517546837018
"21",0.559301310039255,395.167625192874,687.290587740216,1722,0.229481780019091,0.399123453972251,-1.41499333475031,1.88003450581076
"22",0.616629694318279,276.240987515781,520.868565016131,1460,0.189206155832726,0.356759291106939,-1.56863323100841,2.01194699108642
"23",0.676754585147499,191.938560807967,391.479394024408,1245,0.154167518721259,0.31444128034089,-1.71743749857698,2.14261210482626
"24",0.739675982526915,135.486042923271,296.563893954271,1084,0.124987124467962,0.273582928002095,-1.84012909395171,2.29655813310166
"25",0.805393886456528,83.5497264693505,203.229064384907,865,0.0965892791553185,0.234946895242667,-1.99782805497635,2.5140005003377
"26",0.873908296936336,55.6998176462337,146.77654650021,736,0.0756791000628175,0.199424655570938,-2.14181779983133,2.64678216355297
"27",0.945219213966341,33.8715107308178,97.8510310001403,589,0.057506809390183,0.166130782682751,-2.30504976706282,2.84459609554581
"28",1.01932663754654,20.3229064384907,63.9795202693225,481,0.0422513647369868,0.133013555653477,-2.47516719202306,3.00465987228851
"29",1.09623056767694,12.7959040538645,43.6566138308318,394,0.0324769138422957,0.110803588403126,-2.62387755601287,3.17791465741307
"30",1.17593100435753,7.52700238462617,28.6026090615795,318,0.0236698188195792,0.0899453115144008,-2.77938214833572,3.40970725835248
"31",1.25842794758832,4.5162014307757,19.5702062000281,274,0.016482486973634,0.0714241102190805,-2.92503855525509,3.60022002229225
"32",1.34372139736931,3.01080095385047,12.7959040538645,224,0.0134410756868325,0.0571245716690379,-3.10479879708007,3.62654052850986
"33",1.43181135370049,1.50540047692523,7.52700238462617,166,0.00906867757183876,0.0453433878591938,-3.30936216485093,3.84750901067178
"34",1.52269781658187,0.752700238462617,3.76350119231309,118,0.00637881558019167,0.0318940779009584,-3.52810927843171,4.16349968518401
"35",1.61638078601345,0.752700238462617,3.01080095385047,95,0.00792316040486966,0.0316926416194786,-3.72347028983609,4.16349968518401
"36",1.71286026199522,0,1.50540047692523,79,0,0.0190557022395599,-3.8676787526057,4.34332308246971
"37",1.81213624452719,0,0.752700238462617,51,0,0.0147588282051494,-4.14478001980106,4.65688012990698
"38",1.91420873360935,0,0.752700238462617,42,0,0.0179214342491099,-4.28569854672901,4.78298736253623
"39",2.01907772924171,0,0,20,0,0,-4.6502768766215,5.71924919366221
"40",2.12674323142427,0,0,10,0,0,-5.05675205683476,5.71924919366221
"41",2.23720524015702,0,0,6,0,0,-6.39215786818126,5.71924919366221
"42",2.35046375543997,0,0,6,0,0,-6.39215786818126,5.71924919366221
"43",2.46651877727312,0,0,6,0,0,-6.39215786818126,5.71924919366221
"44",2.58537030565646,0,0,4,0,0,-6.39215786818126,6.62504010771041
"45",2.70701834059,0,0,4,0,0,-6.39215786818126,6.62504010771041
"46",2.83146288207373,0,0,4,0,0,-6.39215786818126,6.62504010771041
"47",2.95870393010766,0,0,3,0,0,-6.39215786818126,1e+10
"48",3.08874148469179,0,0,3,0,0,-6.39215786818126,1e+10
"49",3.22157554582611,0,0,2,0,0,-6.73302385577215,1e+10
"50",3.35720611351063,0,0,0,NA,NA,-1e+10,1e+10
